Currency	Date	Value
Israeli New Shekel	August 20, 2020	3.402000
Israeli New Shekel	August 20, 2021	NA
Israeli New Shekel	August 21, 2019	3.527000
Israeli New Shekel	August 21, 2020	3.404000
Israeli New Shekel	August 21, 2023	3.794000
Israeli New Shekel	August 22, 2019	3.525000
Israeli New Shekel	August 22, 2022	3.282000
Israeli New Shekel	August 22, 2023	3.778000
Israeli New Shekel	August 23, 2019	3.511000
Israeli New Shekel	August 23, 2021	3.230000
Israeli New Shekel	August 23, 2022	3.281000
Israeli New Shekel	August 23, 2023	3.788000
Israeli New Shekel	August 24, 2020	3.402000
Israeli New Shekel	August 24, 2021	3.218000
Israeli New Shekel	August 24, 2022	3.278000
Israeli New Shekel	August 24, 2023	3.772000
Israeli New Shekel	August 25, 2020	3.400000
Israeli New Shekel	August 25, 2021	3.227000
Israeli New Shekel	August 25, 2022	3.287000
Israeli New Shekel	August 25, 2023	3.800000
Israeli New Shekel	August 26, 2019	3.519000
Israeli New Shekel	August 26, 2020	3.401000
Israeli New Shekel	August 26, 2021	3.221000
Israeli New Shekel	August 26, 2022	3.259000
Israeli New Shekel	August 27, 2019	3.520000
Israeli New Shekel	August 27, 2020	3.369000
Israeli New Shekel	August 27, 2021	3.232000
Israeli New Shekel	August 28, 2019	3.524000
Israeli New Shekel	August 28, 2020	3.368000
Israeli New Shekel	August 28, 2023	3.797000
Israeli New Shekel	August 29, 2019	3.521000
Israeli New Shekel	August 29, 2022	3.319000
Israeli New Shekel	August 29, 2023	3.808000
Israeli New Shekel	August 30, 2019	3.535000
Israeli New Shekel	August 30, 2021	3.222000
Israeli New Shekel	August 30, 2022	3.305000
Israeli New Shekel	August 30, 2023	3.798000
Israeli New Shekel	August 31, 2020	3.362000
Israeli New Shekel	August 31, 2021	NA
Israeli New Shekel	August 31, 2022	3.341000
Israeli New Shekel	August 31, 2023	3.801000
Israeli New Shekel	December 01, 2020	3.304000
Israeli New Shekel	December 01, 2021	3.150000
Israeli New Shekel	December 01, 2022	3.414000
Israeli New Shekel	December 02, 2019	3.474000
Israeli New Shekel	December 02, 2020	3.289000
Israeli New Shekel	December 02, 2021	3.168000
Israeli New Shekel	December 02, 2022	3.379000
Israeli New Shekel	December 03, 2019	3.481000
Israeli New Shekel	December 03, 2020	3.275000
Israeli New Shekel	December 03, 2021	3.156000
Israeli New Shekel	December 04, 2019	3.471000
Israeli New Shekel	December 04, 2020	3.266000
Israeli New Shekel	December 05, 2019	3.467000
Israeli New Shekel	December 05, 2022	3.386000
Israeli New Shekel	December 06, 2019	3.463000
Israeli New Shekel	December 06, 2021	3.161000
Israeli New Shekel	December 06, 2022	3.408000
Israeli New Shekel	December 07, 2020	3.273000
Israeli New Shekel	December 07, 2021	3.155000
Israeli New Shekel	December 07, 2022	3.445000
Israeli New Shekel	December 08, 2020	3.248000
Israeli New Shekel	December 08, 2021	3.111000
Israeli New Shekel	December 08, 2022	3.441000
Israeli New Shekel	December 09, 2019	3.471000
Israeli New Shekel	December 09, 2020	3.256000
Israeli New Shekel	December 09, 2021	3.104000
Israeli New Shekel	December 09, 2022	3.420000
Israeli New Shekel	December 10, 2019	3.465000
Israeli New Shekel	December 10, 2020	3.251000
Israeli New Shekel	December 10, 2021	3.103000
Israeli New Shekel	December 11, 2019	3.477000
Israeli New Shekel	December 11, 2020	3.254000
Israeli New Shekel	December 12, 2019	3.481000
Israeli New Shekel	December 12, 2022	3.428000
Israeli New Shekel	December 13, 2019	3.476000
Israeli New Shekel	December 13, 2021	NA
Israeli New Shekel	December 13, 2022	3.433000
Israeli New Shekel	December 14, 2020	3.257000
Israeli New Shekel	December 14, 2021	3.113000
Israeli New Shekel	December 14, 2022	3.410000
Israeli New Shekel	December 15, 2020	3.255000
Israeli New Shekel	December 15, 2021	NA
Israeli New Shekel	December 15, 2022	3.425000
Israeli New Shekel	December 16, 2019	3.498000
Israeli New Shekel	December 16, 2020	3.253000
Israeli New Shekel	December 16, 2021	3.106000
Israeli New Shekel	December 16, 2022	3.451000
Israeli New Shekel	December 17, 2019	3.492000
Israeli New Shekel	December 17, 2020	3.245000
Israeli New Shekel	December 17, 2021	3.115000
Israeli New Shekel	December 18, 2019	3.501000
Israeli New Shekel	December 18, 2020	3.241000
Israeli New Shekel	December 19, 2019	3.493000
Israeli New Shekel	December 19, 2022	3.441000
Israeli New Shekel	December 20, 2019	3.477000
Israeli New Shekel	December 20, 2021	3.152000
Israeli New Shekel	December 20, 2022	3.469000
Israeli New Shekel	December 21, 2020	3.251000
Israeli New Shekel	December 21, 2021	3.164000
Israeli New Shekel	December 21, 2022	3.477000
Israeli New Shekel	December 22, 2020	3.234000
Israeli New Shekel	December 22, 2021	3.165000
Israeli New Shekel	December 22, 2022	3.477000
Israeli New Shekel	December 23, 2019	3.472000
Israeli New Shekel	December 23, 2020	3.222000
Israeli New Shekel	December 23, 2021	3.150000
Israeli New Shekel	December 23, 2022	3.493000
Israeli New Shekel	December 26, 2019	3.472000
Israeli New Shekel	December 27, 2019	3.468000
Israeli New Shekel	December 30, 2019	3.463000
Israeli New Shekel	February 01, 2019	3.633000
Israeli New Shekel	February 01, 2021	3.288000
Israeli New Shekel	February 01, 2022	3.169000
Israeli New Shekel	February 01, 2023	3.456000
Israeli New Shekel	February 02, 2021	3.300000
Israeli New Shekel	February 02, 2022	3.160000
Israeli New Shekel	February 02, 2023	3.422000
Israeli New Shekel	February 03, 2020	3.446000
Israeli New Shekel	February 03, 2021	3.300000
Israeli New Shekel	February 03, 2022	3.186000
Israeli New Shekel	February 03, 2023	3.398000
Israeli New Shekel	February 04, 2019	3.627000
Israeli New Shekel	February 04, 2020	NA
Israeli New Shekel	February 04, 2021	3.298000
Israeli New Shekel	February 04, 2022	3.199000
Israeli New Shekel	February 05, 2019	3.610000
Israeli New Shekel	February 05, 2020	3.452000
Israeli New Shekel	February 05, 2021	3.286000
Israeli New Shekel	February 06, 2019	3.619000
Israeli New Shekel	February 06, 2020	3.439000
Israeli New Shekel	February 06, 2023	3.474000
Israeli New Shekel	February 07, 2019	3.627000
Israeli New Shekel	February 07, 2020	3.426000
Israeli New Shekel	February 07, 2022	3.195000
Israeli New Shekel	February 07, 2023	3.473000
Israeli New Shekel	February 08, 2019	3.634000
Israeli New Shekel	February 08, 2021	3.282000
Israeli New Shekel	February 08, 2022	3.224000
Israeli New Shekel	February 08, 2023	3.481000
Israeli New Shekel	February 09, 2021	3.259000
Israeli New Shekel	February 09, 2022	3.216000
Israeli New Shekel	February 09, 2023	3.489000
Israeli New Shekel	February 10, 2020	3.422000
Israeli New Shekel	February 10, 2021	3.253000
Israeli New Shekel	February 10, 2022	3.221000
Israeli New Shekel	February 10, 2023	3.507000
Israeli New Shekel	February 11, 2019	3.643000
Israeli New Shekel	February 11, 2020	NA
Israeli New Shekel	February 11, 2021	3.260000
Israeli New Shekel	February 11, 2022	3.235000
Israeli New Shekel	February 12, 2019	3.643000
Israeli New Shekel	February 12, 2020	3.423000
Israeli New Shekel	February 12, 2021	3.249000
Israeli New Shekel	February 13, 2019	3.637000
Israeli New Shekel	February 13, 2020	3.431000
Israeli New Shekel	February 13, 2023	3.540000
Israeli New Shekel	February 14, 2019	3.662000
Israeli New Shekel	February 14, 2020	3.434000
Israeli New Shekel	February 14, 2022	3.262000
Israeli New Shekel	February 14, 2023	3.502000
Israeli New Shekel	February 15, 2019	3.641000
Israeli New Shekel	February 15, 2022	3.225000
Israeli New Shekel	February 15, 2023	3.529000
Israeli New Shekel	February 16, 2021	3.237000
Israeli New Shekel	February 16, 2022	3.183000
Israeli New Shekel	February 16, 2023	3.538000
Israeli New Shekel	February 17, 2021	3.257000
Israeli New Shekel	February 17, 2022	3.189000
Israeli New Shekel	February 17, 2023	3.566000
Israeli New Shekel	February 18, 2020	3.416000
Israeli New Shekel	February 18, 2021	3.265000
Israeli New Shekel	February 18, 2022	3.193000
Israeli New Shekel	February 19, 2019	3.631000
Israeli New Shekel	February 19, 2020	3.424000
Israeli New Shekel	February 19, 2021	3.271000
Israeli New Shekel	February 20, 2019	3.617000
Israeli New Shekel	February 20, 2020	3.432000
Israeli New Shekel	February 21, 2019	3.617000
Israeli New Shekel	February 21, 2020	3.424000
Israeli New Shekel	February 21, 2023	3.649000
Israeli New Shekel	February 22, 2019	3.613000
Israeli New Shekel	February 22, 2021	3.268000
Israeli New Shekel	February 22, 2022	3.219000
Israeli New Shekel	February 22, 2023	3.663000
Israeli New Shekel	February 23, 2021	3.264000
Israeli New Shekel	February 23, 2022	3.223000
Israeli New Shekel	February 23, 2023	3.613000
Israeli New Shekel	February 24, 2020	3.437000
Israeli New Shekel	February 24, 2021	3.264000
Israeli New Shekel	February 24, 2022	3.271000
Israeli New Shekel	February 24, 2023	3.659000
Israeli New Shekel	February 25, 2019	3.605000
Israeli New Shekel	February 25, 2020	3.429000
Israeli New Shekel	February 25, 2021	3.280000
Israeli New Shekel	February 25, 2022	3.259000
Israeli New Shekel	February 26, 2019	3.624000
Israeli New Shekel	February 26, 2020	3.442000
Israeli New Shekel	February 26, 2021	NA
Israeli New Shekel	February 27, 2019	3.619000
Israeli New Shekel	February 27, 2020	3.434000
Israeli New Shekel	February 27, 2023	3.673000
Israeli New Shekel	February 28, 2019	3.604000
Israeli New Shekel	February 28, 2020	3.467000
Israeli New Shekel	February 28, 2022	3.238000
Israeli New Shekel	February 28, 2023	3.668000
Israeli New Shekel	January 02, 2020	3.452000
Israeli New Shekel	January 03, 2020	3.467000
Israeli New Shekel	January 03, 2022	3.092000
Israeli New Shekel	January 03, 2023	3.532000
Israeli New Shekel	January 04, 2021	3.206000
Israeli New Shekel	January 04, 2022	3.094000
Israeli New Shekel	January 04, 2023	3.527000
Israeli New Shekel	January 05, 2021	3.203000
Israeli New Shekel	January 05, 2022	3.093000
Israeli New Shekel	January 05, 2023	3.529000
Israeli New Shekel	January 06, 2020	3.475000
Israeli New Shekel	January 06, 2021	3.186000
Israeli New Shekel	January 06, 2022	3.109000
Israeli New Shekel	January 06, 2023	3.556000
Israeli New Shekel	January 07, 2020	3.467000
Israeli New Shekel	January 07, 2021	3.182000
Israeli New Shekel	January 07, 2022	3.109000
Israeli New Shekel	January 08, 2020	3.465000
Israeli New Shekel	January 08, 2021	3.187000
Israeli New Shekel	January 09, 2020	3.471000
Israeli New Shekel	January 09, 2023	3.496000
Israeli New Shekel	January 10, 2020	3.473000
Israeli New Shekel	January 10, 2022	3.116000
Israeli New Shekel	January 10, 2023	3.480000
Israeli New Shekel	January 11, 2021	3.183000
Israeli New Shekel	January 11, 2022	3.127000
Israeli New Shekel	January 11, 2023	3.458000
Israeli New Shekel	January 12, 2021	3.159000
Israeli New Shekel	January 12, 2022	3.112000
Israeli New Shekel	January 12, 2023	3.429000
Israeli New Shekel	January 13, 2020	3.470000
Israeli New Shekel	January 13, 2021	3.134000
Israeli New Shekel	January 13, 2022	3.117000
Israeli New Shekel	January 13, 2023	3.410000
Israeli New Shekel	January 14, 2020	3.470000
Israeli New Shekel	January 14, 2021	3.116000
Israeli New Shekel	January 14, 2022	3.111000
Israeli New Shekel	January 15, 2020	3.459000
Israeli New Shekel	January 15, 2021	3.231000
Israeli New Shekel	January 16, 2020	3.456000
Israeli New Shekel	January 17, 2020	3.454000
Israeli New Shekel	January 17, 2023	3.418000
Israeli New Shekel	January 18, 2022	3.124000
Israeli New Shekel	January 18, 2023	3.381000
Israeli New Shekel	January 19, 2021	3.232000
Israeli New Shekel	January 19, 2022	3.125000
Israeli New Shekel	January 19, 2023	3.408000
Israeli New Shekel	January 20, 2021	3.254000
Israeli New Shekel	January 20, 2022	3.134000
Israeli New Shekel	January 20, 2023	3.407000
Israeli New Shekel	January 21, 2020	3.455000
Israeli New Shekel	January 21, 2021	3.280000
Israeli New Shekel	January 21, 2022	3.140000
Israeli New Shekel	January 22, 2020	3.452000
Israeli New Shekel	January 22, 2021	3.280000
Israeli New Shekel	January 23, 2020	3.458000
Israeli New Shekel	January 23, 2023	3.380000
Israeli New Shekel	January 24, 2020	3.455000
Israeli New Shekel	January 24, 2022	3.167000
Israeli New Shekel	January 24, 2023	3.373000
Israeli New Shekel	January 25, 2021	3.265000
Israeli New Shekel	January 25, 2022	3.183000
Israeli New Shekel	January 25, 2023	3.370000
Israeli New Shekel	January 26, 2021	3.268000
Israeli New Shekel	January 26, 2022	3.176000
Israeli New Shekel	January 26, 2023	3.399000
Israeli New Shekel	January 27, 2020	3.458000
Israeli New Shekel	January 27, 2021	3.264000
Israeli New Shekel	January 27, 2022	3.196000
Israeli New Shekel	January 27, 2023	3.438000
Israeli New Shekel	January 28, 2020	3.455000
Israeli New Shekel	January 28, 2021	3.294000
Israeli New Shekel	January 28, 2022	3.196000
Israeli New Shekel	January 29, 2020	3.458000
Israeli New Shekel	January 29, 2021	3.291000
Israeli New Shekel	January 30, 2020	3.450000
Israeli New Shekel	January 30, 2023	3.468000
Israeli New Shekel	January 31, 2020	3.448000
Israeli New Shekel	January 31, 2022	3.195000
Israeli New Shekel	January 31, 2023	3.475000
Israeli New Shekel	July 01, 2019	3.574000
Israeli New Shekel	July 01, 2020	3.454000
Israeli New Shekel	July 01, 2021	3.261000
Israeli New Shekel	July 01, 2022	3.526000
Israeli New Shekel	July 02, 2019	3.575000
Israeli New Shekel	July 02, 2020	3.448000
Israeli New Shekel	July 03, 2019	3.572000
Israeli New Shekel	July 05, 2019	NA
Israeli New Shekel	July 05, 2022	3.519000
Israeli New Shekel	July 05, 2023	3.698000
Israeli New Shekel	July 06, 2021	3.263000
Israeli New Shekel	July 06, 2022	3.513000
Israeli New Shekel	July 06, 2023	3.699000
Israeli New Shekel	July 07, 2020	3.450000
Israeli New Shekel	July 07, 2021	3.270000
Israeli New Shekel	July 07, 2022	3.491000
Israeli New Shekel	July 07, 2023	3.717000
Israeli New Shekel	July 08, 2019	3.573000
Israeli New Shekel	July 08, 2020	3.455000
Israeli New Shekel	July 08, 2021	3.279000
Israeli New Shekel	July 08, 2022	3.480000
Israeli New Shekel	July 09, 2019	3.568000
Israeli New Shekel	July 09, 2020	3.444000
Israeli New Shekel	July 09, 2021	3.278000
Israeli New Shekel	July 10, 2019	3.573000
Israeli New Shekel	July 10, 2020	3.457000
Israeli New Shekel	July 10, 2023	3.710000
Israeli New Shekel	July 11, 2019	3.547000
Israeli New Shekel	July 11, 2022	3.474000
Israeli New Shekel	July 11, 2023	3.709000
Israeli New Shekel	July 12, 2019	3.551000
Israeli New Shekel	July 12, 2021	3.284000
Israeli New Shekel	July 12, 2022	3.484000
Israeli New Shekel	July 12, 2023	3.665000
Israeli New Shekel	July 13, 2020	3.442000
Israeli New Shekel	July 13, 2021	3.278000
Israeli New Shekel	July 13, 2022	NA
Israeli New Shekel	July 13, 2023	3.618000
Israeli New Shekel	July 14, 2020	3.442000
Israeli New Shekel	July 14, 2021	3.278000
Israeli New Shekel	July 14, 2022	3.472000
Israeli New Shekel	July 14, 2023	3.609000
Israeli New Shekel	July 15, 2019	3.539000
Israeli New Shekel	July 15, 2020	3.431000
Israeli New Shekel	July 15, 2021	3.266000
Israeli New Shekel	July 15, 2022	NA
Israeli New Shekel	July 16, 2019	3.542000
Israeli New Shekel	July 16, 2020	3.427000
Israeli New Shekel	July 16, 2021	3.281000
Israeli New Shekel	July 17, 2019	3.541000
Israeli New Shekel	July 17, 2020	3.447000
Israeli New Shekel	July 17, 2023	3.635000
Israeli New Shekel	July 18, 2019	3.543000
Israeli New Shekel	July 18, 2022	3.455000
Israeli New Shekel	July 18, 2023	3.635000
Israeli New Shekel	July 19, 2019	3.535000
Israeli New Shekel	July 19, 2021	3.298000
Israeli New Shekel	July 19, 2022	3.435000
Israeli New Shekel	July 19, 2023	3.590000
Israeli New Shekel	July 20, 2020	3.431000
Israeli New Shekel	July 20, 2021	3.298000
Israeli New Shekel	July 20, 2022	3.447000
Israeli New Shekel	July 20, 2023	3.593000
Israeli New Shekel	July 21, 2020	3.421000
Israeli New Shekel	July 21, 2021	NA
Israeli New Shekel	July 21, 2022	3.455000
Israeli New Shekel	July 21, 2023	3.617000
Israeli New Shekel	July 22, 2019	3.534000
Israeli New Shekel	July 22, 2020	3.419000
Israeli New Shekel	July 22, 2021	3.271000
Israeli New Shekel	July 22, 2022	3.441000
Israeli New Shekel	July 23, 2019	3.537000
Israeli New Shekel	July 23, 2020	3.421000
Israeli New Shekel	July 23, 2021	3.271000
Israeli New Shekel	July 24, 2019	3.521000
Israeli New Shekel	July 24, 2020	3.420000
Israeli New Shekel	July 24, 2023	3.620000
Israeli New Shekel	July 25, 2019	3.523000
Israeli New Shekel	July 25, 2022	3.440000
Israeli New Shekel	July 25, 2023	3.717000
Israeli New Shekel	July 26, 2019	3.526000
Israeli New Shekel	July 26, 2021	3.264000
Israeli New Shekel	July 26, 2022	3.445000
Israeli New Shekel	July 26, 2023	3.710000
Israeli New Shekel	July 27, 2020	3.413000
Israeli New Shekel	July 27, 2021	3.254000
Israeli New Shekel	July 27, 2022	3.427000
Israeli New Shekel	July 27, 2023	NA
Israeli New Shekel	July 28, 2020	3.415000
Israeli New Shekel	July 28, 2021	3.252000
Israeli New Shekel	July 28, 2022	3.433000
Israeli New Shekel	July 28, 2023	3.713000
Israeli New Shekel	July 29, 2019	3.525000
Israeli New Shekel	July 29, 2020	3.409000
Israeli New Shekel	July 29, 2021	3.244000
Israeli New Shekel	July 29, 2022	3.391000
Israeli New Shekel	July 30, 2019	3.500000
Israeli New Shekel	July 30, 2020	NA
Israeli New Shekel	July 30, 2021	3.233000
Israeli New Shekel	July 31, 2019	3.499000
Israeli New Shekel	July 31, 2020	3.408000
Israeli New Shekel	July 31, 2023	3.693000
Israeli New Shekel	June 01, 2020	3.509000
Israeli New Shekel	June 01, 2021	3.238000
Israeli New Shekel	June 01, 2022	3.325000
Israeli New Shekel	June 01, 2023	3.736000
Israeli New Shekel	June 02, 2020	3.484000
Israeli New Shekel	June 02, 2021	3.254000
Israeli New Shekel	June 02, 2022	3.340000
Israeli New Shekel	June 02, 2023	3.745000
Israeli New Shekel	June 03, 2019	3.633000
Israeli New Shekel	June 03, 2020	3.468000
Israeli New Shekel	June 03, 2021	3.248000
Israeli New Shekel	June 03, 2022	NA
Israeli New Shekel	June 04, 2019	3.612000
Israeli New Shekel	June 04, 2020	3.479000
Israeli New Shekel	June 04, 2021	3.257000
Israeli New Shekel	June 05, 2019	3.610000
Israeli New Shekel	June 05, 2020	3.455000
Israeli New Shekel	June 05, 2023	3.735000
Israeli New Shekel	June 06, 2019	3.601000
Israeli New Shekel	June 06, 2022	3.332000
Israeli New Shekel	June 06, 2023	3.715000
Israeli New Shekel	June 07, 2019	3.601000
Israeli New Shekel	June 07, 2021	3.251000
Israeli New Shekel	June 07, 2022	3.338000
Israeli New Shekel	June 07, 2023	3.655000
Israeli New Shekel	June 08, 2020	3.462000
Israeli New Shekel	June 08, 2021	3.243000
Israeli New Shekel	June 08, 2022	3.339000
Israeli New Shekel	June 08, 2023	3.663000
Israeli New Shekel	June 09, 2020	3.457000
Israeli New Shekel	June 09, 2021	3.244000
Israeli New Shekel	June 09, 2022	3.338000
Israeli New Shekel	June 09, 2023	NA
Israeli New Shekel	June 10, 2019	3.585000
Israeli New Shekel	June 10, 2020	3.447000
Israeli New Shekel	June 10, 2021	3.244000
Israeli New Shekel	June 10, 2022	NA
Israeli New Shekel	June 11, 2019	3.581000
Israeli New Shekel	June 11, 2020	3.451000
Israeli New Shekel	June 11, 2021	3.242000
Israeli New Shekel	June 12, 2019	3.582000
Israeli New Shekel	June 12, 2020	3.464000
Israeli New Shekel	June 12, 2023	3.588000
Israeli New Shekel	June 13, 2019	3.592000
Israeli New Shekel	June 13, 2022	NA
Israeli New Shekel	June 13, 2023	3.558000
